Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cum_Cured,Cum_Deaths,Cum_Confirmed,Cured,Deaths,Confirmed
366,26/03/20,6:00 PM,Andaman and Nicobar Islands,1,0,0,0,1,0,0,0
393,27/03/20,10:00 AM,Andaman and Nicobar Islands,1,0,0,0,1,0,0,0
421,28/03/20,6:00 PM,Andaman and Nicobar Islands,6,0,0,0,6,0,0,5
448,29/03/20,7:30 PM,Andaman and Nicobar Islands,-,-,0,0,9,0,0,3
475,30/03/20,9:30 PM,Andaman and Nicobar Islands,-,-,0,0,9,0,0,0
503,31/03/20,8:30 PM,Andaman and Nicobar Islands,-,-,0,0,10,0,0,1
531,01/04/20,7:30 PM,Andaman and Nicobar Islands,-,-,0,0,10,0,0,0
560,02/04/20,6:00 PM,Andaman and Nicobar Islands,-,-,0,0,10,0,0,0
589,03/04/20,6:00 PM,Andaman and Nicobar Islands,-,-,0,0,10,0,0,0
620,04/04/20,6:00 PM,Andaman and Nicobar Islands,-,-,0,0,10,0,0,0
650,05/04/20,6:00 PM,Andaman and Nicobar Islands,-,-,0,0,10,0,0,0
680,06/04/20,6:00 PM,Andaman and Nicobar Islands,-,-,0,0,10,0,0,0
710,07/04/20,6:00 PM,Andaman and Nicobar Islands,-,-,0,0,10,0,0,0
741,08/04/20,5:00 PM,Andaman and Nicobar Islands,-,-,0,0,10,0,0,0
772,09/04/20,5:00 PM,Andaman and Nicobar Islands,-,-,0,0,11,0,0,1
803,10/04/20,5:00 PM,Andaman and Nicobar Islands,-,-,0,0,11,0,0,0
834,11/04/20,5:00 PM,Andaman and Nicobar Islands,-,-,0,0,11,0,0,0
865,12/04/20,5:00 PM,Andaman and Nicobar Islands,-,-,10,0,11,10,0,0
896,13/04/20,5:00 PM,Andaman and Nicobar Islands,-,-,10,0,11,0,0,0
928,14/04/20,5:00 PM,Andaman and Nicobar Islands,-,-,10,0,11,0,0,0
960,15/04/20,5:00 PM,Andaman and Nicobar Islands,-,-,10,0,11,0,0,0
993,16/04/20,5:00 PM,Andaman and Nicobar Islands,-,-,10,0,11,0,0,0
1026,17/04/20,5:00 PM,Andaman and Nicobar Islands,-,-,10,0,11,0,0,0
1059,18/04/20,5:00 PM,Andaman and Nicobar Islands,-,-,11,0,12,1,0,1
1092,19/04/20,5:00 PM,Andaman and Nicobar Islands,-,-,11,0,14,0,0,2
1125,20/04/20,5:00 PM,Andaman and Nicobar Islands,-,-,11,0,15,0,0,1
1158,21/04/20,5:00 PM,Andaman and Nicobar Islands,-,-,11,0,16,0,0,1
1191,22/04/20,5:00 PM,Andaman and Nicobar Islands,-,-,11,0,17,0,0,1
1223,23/04/20,5:00 PM,Andaman and Nicobar Islands,-,-,11,0,18,0,0,1
1255,24/04/20,5:00 PM,Andaman and Nicobar Islands,-,-,11,0,22,0,0,4
1287,25/04/20,5:00 PM,Andaman and Nicobar Islands,-,-,11,0,27,0,0,5
1319,26/04/20,5:00 PM,Andaman and Nicobar Islands,-,-,11,0,33,0,0,6
1351,27/04/20,5:00 PM,Andaman and Nicobar Islands,-,-,11,0,33,0,0,0
1383,28/04/20,5:00 PM,Andaman and Nicobar Islands,-,-,11,0,33,0,0,0
1415,29/04/20,5:00 PM,Andaman and Nicobar Islands,-,-,15,0,33,4,0,0
1447,30/04/20,5:00 PM,Andaman and Nicobar Islands,-,-,15,0,33,0,0,0
1479,01/05/20,5:00 PM,Andaman and Nicobar Islands,-,-,16,0,33,1,0,0
1511,02/05/20,5:00 PM,Andaman and Nicobar Islands,-,-,16,0,33,0,0,0
1543,03/05/20,5:00 PM,Andaman and Nicobar Islands,-,-,17,0,33,1,0,0
1575,04/05/20,5:00 PM,Andaman and Nicobar Islands,-,-,32,0,33,15,0,0
1607,05/05/20,5:00 PM,Andaman and Nicobar Islands,-,-,32,0,33,0,0,0
1639,06/05/20,8:00 AM,Andaman and Nicobar Islands,-,-,32,0,33,0,0,0
